version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  1027337
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    75.072     0.259     6.953     0.006     6.981     0.004     0.885     0.008    77.404     0.007    0.0055    0.0009     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    56.944     0.013      27.7       3.9      62.7      18.2     1.000     0.000
  0    63.507     0.009      39.7       3.9      67.6      16.2     1.000     0.000
  0    70.476     0.007      68.2       3.3      57.8      10.8     1.000     0.000
  0    77.385     0.010      68.5       2.7      34.0       6.0     1.000     0.000
  0    84.365     0.014      45.6       2.6      26.8       6.0     1.000     0.000
  0    91.473     0.051      32.1       2.6       8.4       2.2     1.000     0.000
  0    98.671     0.203      11.0       5.2      26.8      20.0     1.000     0.000
  0   105.657     0.193       9.2       3.5      29.1      17.3     0.997     0.000
  2    56.014     0.018      25.9       3.8      18.6       7.4     1.000     0.000
  2    62.587     0.014      32.6       4.0      18.2      14.2     1.000     0.000
  2    69.555     0.008      62.4       5.3      14.2      18.2     1.000     0.000
  2    76.531     0.012      64.6       4.1       7.4      18.6     1.000     0.000
  2    83.507     0.018      41.9       3.1       5.5       5.5     1.000     0.000
  2    90.643     0.039      30.3       2.9       3.7       3.7     1.000     0.000
  2    97.977     0.098      22.1       3.7       6.3       6.3     1.000     0.000
  2   105.100     0.084      14.9       2.9       9.5       9.5     1.000     0.000
  1    60.300     0.010      35.9       7.4     155.6      92.5     1.000     0.984
  1    60.374     0.007      22.6       7.5     297.1     121.6     0.976     0.984
  1    60.485     0.003      17.6       5.1     358.5      96.1     0.998     0.984
  1    66.423     0.004       9.7       2.3     292.7     129.8     0.482     0.792
  1    66.935     0.015      18.6       7.7     235.6     119.7     0.977     0.980
  1    67.107     0.008      57.5       7.0      88.7      29.8     1.000     1.000
  1    67.221     0.020      22.3       6.9     299.6     121.3     0.867     1.000
  1    71.177     0.005       5.0       3.4       0.0       0.0     0.911     0.350
  1    73.558     0.010      17.2       5.0     271.4     117.5     1.000     0.946
  1    73.896     0.006      38.0       3.1      72.5      13.8     1.000     0.996
  1    74.098     0.012      49.1       7.7      68.8       8.1     1.000     1.000
  1    74.167     0.005      34.2       8.5     240.4     132.9     0.999     1.000
  1    74.398     0.004      20.6       4.8     340.4     102.7     1.000     0.789
  1    74.494     0.030      10.6       3.8     298.8     121.2     0.397     0.789
  1    75.154     0.002       6.8       3.0       0.0       0.0     1.000     0.406
  1    78.880     0.005      11.9       2.7     283.7     123.8     0.972     1.000
  1    79.757     0.002       7.2       4.5       0.0       0.0     1.000     0.409
  1    80.200     0.011      12.0       3.9     239.4     112.2     0.992     0.935
  1    80.615     0.004      35.5       4.3     137.2      43.1     1.000     0.995
  1    80.873     0.051      27.9      16.1     187.2     121.6     1.000     1.000
  1    80.926     0.014      47.9      13.5     119.1      89.5     1.000     1.000
  1    81.218     0.010      20.7       7.9     224.7     116.2     1.000     0.978
  1    81.637     0.002       6.3       2.1       0.0       0.0     0.999     0.646
  1    86.017     0.009      10.1       2.4     195.4     129.7     0.983     1.000
  1    87.058     0.005      11.6       3.4     327.3     102.1     1.000     0.880
  1    87.569     0.004      22.1       4.0     265.1     108.4     1.000     0.934
  1    87.862     0.017      14.5       6.1     229.0     145.5     0.485     1.000
  1    87.940     0.013      26.8       4.7      72.5      17.6     1.000     1.000
  1    88.262     0.015      24.0       6.3     152.9      98.4     1.000     1.000
  1    88.301     0.033      20.1       6.9     187.7     118.0     1.000     1.000
  1    94.916     0.010      15.2       3.3     143.7      95.0     1.000     1.000
  1    95.058     0.006      11.7       3.1     283.3     121.1     1.000     1.000
  1    95.404     0.008      22.0       2.5      82.0      13.1     1.000     1.000
  1    95.935     0.011       6.7       2.8     291.4     115.8     0.680     0.755
  1    96.876     0.002       3.8       2.9       0.0       0.0     0.577     0.400
  3    71.878     0.017      14.6       4.9     145.2     120.2     1.000     0.996
  3    78.794     0.020      13.1       2.3      72.1      20.8     0.875     1.000
  3    85.793     0.039       9.0       2.8     138.1     104.8     0.207     1.000
