version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  4743924
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
   103.170     0.450     8.087     0.013     8.039     0.007     0.979     0.020    97.538     0.013    0.0083    0.0014     2
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    59.644     0.016      10.1       1.9      56.8      21.2     0.943     0.000
  0    73.998     0.016      15.7       2.3      49.5      20.5     1.000     0.000
  0    81.668     0.018      24.6       2.0      24.7       8.2     1.000     0.000
  0    89.439     0.016      27.6       1.5      27.1       6.6     1.000     0.000
  0    97.574     0.013      34.1       1.3      26.4       5.4     1.000     0.000
  0   105.635     0.018      31.6       1.0      17.2       3.1     1.000     0.000
  0   113.735     0.030      27.2       1.3      11.9       2.5     1.000     0.000
  0   121.826     0.036      20.4       1.8      11.4       3.7     1.000     0.000
  0   130.103     0.090      13.1       2.6       9.6       6.4     1.000     0.000
  0   138.467     0.121       7.2       2.5      21.0      15.8     1.000     0.000
  2    88.411     0.077      20.3       2.8       5.1       3.1     1.000     0.000
  2    96.542     0.040      28.8       2.1       2.1       2.1     1.000     0.000
  2   104.732     0.029      26.6       1.9       3.1       5.1     1.000     0.000
  2   112.772     0.078      24.4       2.2       1.5       1.5     1.000     0.000
  2   120.968     0.090      22.4       1.6       1.1       1.1     1.000     0.000
  2   129.346     0.149      15.3       2.4       3.4       3.4     1.000     0.000
  2   137.533     0.207      12.0       2.2       4.2       4.2     1.000     0.000
  1    79.041     0.010       6.5       2.5     297.1     109.4     0.537     0.635
  1    85.445     0.010      19.9       3.1      70.4      22.1     1.000     1.000
  1    85.634     0.034      10.9       3.2     178.9     112.4     0.583     1.000
  1    86.327     0.006      12.0       1.6     134.4      37.2     1.000     0.983
  1    92.729     0.010      11.0       2.5     216.1     103.3     0.996     1.000
  1    93.799     0.017      30.7       4.8      83.0      15.5     1.000     1.000
  1    93.987     0.015      17.4       4.7     121.7      78.1     1.000     1.000
  1   100.877     0.008      17.9       3.0     126.5      45.0     1.000     0.960
  1   101.082     0.008      15.6       3.2     174.9      85.8     1.000     0.960
  1   101.897     0.014      14.1       3.7     206.6     117.6     0.987     1.000
  1   102.019     0.013      23.0       5.2     116.6      68.5     1.000     1.000
  1   102.160     0.015      26.3       4.7      93.1      35.0     1.000     1.000
  1   103.656     0.004       7.1       1.2     263.8      86.6     1.000     0.943
  1   108.406     0.011      11.4       2.1     116.3      69.4     1.000     0.992
  1   109.838     0.012      39.1       3.4      61.0       4.7     1.000     1.000
  1   111.320     0.006      18.6       2.6     162.6      29.1     1.000     1.000
  1   116.428     0.014      18.5       3.3     143.9      21.0     1.000     1.000
  1   118.039     0.008      31.1       3.5      65.2       6.9     1.000     1.000
  1   125.450     0.005      13.2       1.6      82.2       6.6     1.000     1.000
  1   125.594     0.010       8.4       1.7     104.1      44.7     0.771     1.000
  1   127.097     0.010      12.8       3.2     159.4      63.1     1.000     1.000
  1   133.372     0.011       7.8       1.6     151.3      59.7     1.000     1.000
  1   134.777     0.012       9.5       1.5      90.8      20.9     1.000     1.000
  1   135.269     0.027       5.6       1.4     149.0      96.8     0.272     1.000
  1   146.628     0.004       4.1       0.9     307.2      94.1     0.985     0.922
  3    99.276     0.009       7.8       1.5     154.6      91.0     0.883     0.999
