version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  5556743
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
   127.973     0.479    10.002     0.009     9.977     0.008     1.179     0.015   122.018     0.010    0.0040    0.0013     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    92.663     0.065      10.0       2.1      28.4      18.1     0.998     0.000
  0   102.268     0.033      15.1       1.9      22.1       9.7     1.000     0.000
  0   112.009     0.011      20.4       2.2      56.0      17.0     1.000     0.000
  0   122.047     0.013      31.6       1.1      27.2       4.9     1.000     0.000
  0   131.999     0.014      28.2       1.9      28.1       6.3     1.000     0.000
  0   142.048     0.037      17.9       1.6      13.0       3.5     1.000     0.000
  0   152.211     0.110      12.1       3.0      12.8      10.8     1.000     0.000
  2   100.915     0.091      12.9       2.6      14.6       4.9     0.955     0.000
  2   110.815     0.033      15.0       1.8       8.6       8.6     1.000     0.000
  2   120.855     0.025      21.0       1.8       4.9      14.6     1.000     0.000
  2   130.850     0.018      23.4       2.0       6.5       6.5     1.000     0.000
  2   140.873     0.041      17.1       1.6       3.8       3.8     1.000     0.000
  2   151.118     0.228      12.6       3.5       9.2       9.2     0.992     0.000
  1    97.787     0.012       5.8       2.3     255.1     122.4     0.226     0.676
  1   107.360     0.012       8.0       2.4     207.8     125.2     0.675     1.000
  1   107.486     0.018       9.6       2.3     126.8      82.1     0.977     1.000
  1   116.864     0.012      11.8       2.9     136.9      95.0     1.000     1.000
  1   116.972     0.017      10.7       3.0     214.8     119.7     1.000     1.000
  1   117.026     0.009       9.4       3.0     271.2     121.7     0.970     1.000
  1   117.447     0.008      20.6       3.4     106.5      47.9     1.000     1.000
  1   118.109     0.003       5.9       1.4     365.1      92.8     0.329     0.946
  1   118.145     0.005       7.3       1.5     277.2     106.6     0.720     0.946
  1   119.605     0.004       3.1       2.4       0.0       0.0     0.536     0.239
  1   126.449     0.003      11.6       2.0     317.1     102.3     1.000     0.946
  1   127.096     0.009      27.3       3.4      75.7      75.7     1.000     1.000
  1   127.690     0.010      15.5       2.5     117.7      41.8     1.000     1.000
  1   127.767     0.008      13.9       3.0     194.1     102.2     1.000     1.000
  1   128.601     0.006       9.2       2.4     291.9      99.7     1.000     0.941
  1   129.754     0.003       4.4       2.5       0.0       0.0     0.441     0.688
  1   134.406     0.006       6.1       1.3     227.3     117.7     0.407     0.786
  1   136.192     0.007      11.6       2.7     211.6     104.0     1.000     1.000
  1   136.415     0.032       7.1       2.2     238.2     113.1     0.646     1.000
  1   137.086     0.015      21.3       3.3      64.5      11.8     1.000     1.000
  1   137.179     0.098      10.8       4.6     176.6     128.1     0.409     1.000
  1   137.734     0.010      13.8       2.9     127.9      63.0     1.000     1.000
  1   137.961     0.036       7.0       2.2     275.7     118.9     0.610     1.000
  1   146.373     0.007       6.3       1.9     269.4     120.3     0.998     0.930
  1   147.188     0.009       9.9       2.1      98.2      65.4     0.997     1.000
  1   147.498     0.021      10.5       2.1      83.9      44.8     1.000     1.000
  1   159.287     0.001       2.2       0.9       0.0       0.0     0.570     0.410
  3   124.166     0.008       5.9       1.9     272.0     128.7     0.450     0.993
