version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  5906289
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
     9.819     0.102     1.402     0.008     1.396     0.004     0.195     0.008    10.664     0.007    0.0066    0.0039     3
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0     7.974     0.015     122.7      19.1      68.5      20.4     1.000     0.000
  0     9.251     0.008     208.6      20.5      78.4      14.7     1.000     0.000
  0    10.681     0.008     212.0      11.9      69.3      16.3     1.000     0.000
  0    12.020     0.019     115.8      15.1      44.0      19.3     1.000     0.000
  0    13.503     0.016      83.3      13.4      57.7      17.5     1.000     0.000
  2     9.048     0.008     218.8      16.8      15.7      19.4     1.000     0.000
  2    10.524     0.012     182.0      24.8      19.4      15.7     1.000     0.000
  2    11.843     0.020     115.9      14.7      20.4      20.4     1.000     0.000
  2    13.279     0.019      99.0       9.0      16.5      16.5     1.000     0.000
  2    14.879     0.051      49.0      10.9      17.1      17.1     0.996     0.000
