version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  6593623
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    37.863     0.201     4.203     0.010     4.163     0.005     0.558     0.011    37.466     0.009    0.0155    0.0022     1
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    29.397     0.015      55.1       8.0      58.4      20.5     1.000     0.000
  0    33.294     0.008      93.9       6.9      66.5      15.4     1.000     0.000
  0    37.507     0.011     109.9       4.1      35.4       7.4     1.000     0.000
  0    41.642     0.013      94.7       4.8      33.1       7.6     1.000     0.000
  0    45.913     0.022      62.4       4.1      21.2       6.0     1.000     0.000
  0    50.246     0.108      27.3       7.9      18.8      16.7     0.944     0.000
  2    24.735     0.103      29.7      10.8      25.8       6.3     0.962     0.000
  2    28.811     0.023      45.1       8.4      24.1      15.7     0.998     0.000
  2    32.715     0.010      90.1       8.0      16.8      16.8     1.000     0.000
  2    36.958     0.008      96.4       9.0      15.7      24.1     1.000     0.000
  2    41.075     0.015      94.5       4.9       6.3      25.8     1.000     0.000
  2    45.405     0.026      57.6       5.3       7.1       7.1     1.000     0.000
  2    49.610     0.033      40.7       4.4       8.2       8.2     1.000     0.000
  1    31.226     0.004      21.3       5.5     290.8     122.9     0.563     0.815
  1    31.410     0.010      61.9      22.1     162.8     106.8     1.000     0.995
  1    35.520     0.007      99.5      11.4      82.4      22.3     1.000     1.000
  1    35.696     0.003      19.1       4.7     342.9      99.5     0.273     1.000
  1    35.735     0.006      22.7       5.0     242.1     116.0     0.357     1.000
  1    39.679     0.007     138.1      12.2      68.4      11.0     1.000     1.000
  1    43.854     0.008      67.3       6.6      62.2       4.9     1.000     1.000
  1    44.604     0.003       8.1       5.2       0.0       0.0     0.548     0.337
  1    48.267     0.011      61.2       4.9      70.1       3.5     1.000     1.000
  3    33.988     0.002      11.3       4.8       0.0       0.0     0.323     0.684
  3    38.277     0.022      26.2       8.2     236.5     123.8     0.866     1.000
  3    46.745     0.005       8.7       5.3       0.0       0.0     0.558     0.489
