version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  6860004
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
   234.663     2.458    15.812     0.012    15.850     0.006     1.675     0.019   227.672     0.012    0.0022    0.0006     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0   149.369     0.040       6.0       1.1      43.5      19.5     1.000     0.000
  0   165.220     0.040       4.5       1.0      72.3      20.1     1.000     0.000
  0   180.571     0.024       9.4       1.0      25.3       8.7     1.000     0.000
  0   196.022     0.020      14.2       0.9      19.6       4.2     1.000     0.000
  0   211.899     0.015      15.2       0.9      24.2       5.0     1.000     0.000
  0   227.677     0.016      17.7       0.6      19.1       3.0     1.000     0.000
  0   243.474     0.020      15.0       0.9      16.8       3.3     1.000     0.000
  0   259.454     0.027      12.8       0.8      12.3       2.8     1.000     0.000
  0   275.441     0.099       8.5       1.1       5.7       2.4     1.000     0.000
  2   210.100     0.044       9.2       0.9       3.6       3.2     1.000     0.000
  2   225.985     0.029      11.8       0.9       3.2       3.6     1.000     0.000
  2   241.900     0.042      10.9       0.8       2.3       2.3     1.000     0.000
  2   257.891     0.080       8.0       1.0       3.5       3.5     1.000     0.000
  2   274.142     0.102       6.5       1.2       6.8       6.8     1.000     0.000
  1   235.331     0.106       4.0       1.1     181.1     110.8     0.283     0.801
  3   152.605     0.002       1.7       0.8       0.0       0.0     0.919     0.265
