version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  7818982
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    23.789     0.185     3.187     0.016     3.183     0.173     0.484     0.027     6.486     0.176    0.0300    0.0162     1
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0     6.495     0.018     116.4      27.0      77.4      17.2     1.000     0.000
  0     9.591     0.023      78.5      23.0      63.9      23.0     0.978     0.000
  0    18.208     0.033      79.5      13.4      46.6      22.3     1.000     0.000
  0    20.985     0.025     111.5      11.4      37.1      19.0     1.000     0.000
  0    24.152     0.043     110.9      16.7      23.9      15.9     1.000     0.000
  0    27.352     0.030      82.7      13.2      39.5      20.2     1.000     0.000
  0    30.440     0.031      55.4       8.7      25.8      12.5     1.000     0.000
  2    11.388     0.104      69.2      24.0      24.6      10.8     0.906     0.000
  2    20.549     0.150     100.8      19.8      13.7      13.7     0.995     0.000
  2    23.676     0.014     143.6       5.9      10.8      24.6     1.000     0.000
  2    26.860     0.032     111.2       4.4       4.4       4.4     1.000     0.000
  2    29.904     0.046      47.1      10.1      23.6      23.6     0.998     0.000
  2    33.779     0.029      31.6       6.5      16.7      16.7     1.000     0.000
  1     9.040     0.025      36.0      23.6       0.0       0.0     0.256     0.581
  1     9.812     0.025      36.7      23.0       0.0       0.0     0.366     0.662
  1    10.609     0.024      38.5      23.2       0.0       0.0     0.408     0.684
  1    16.815     0.004      27.7       8.4     356.3      91.5     0.271     0.725
  1    16.848     0.008      34.6      12.0     319.4      91.2     0.247     0.725
  1    19.558     0.005      16.5       6.8       0.0       0.0     0.933     0.711
  1    19.787     0.025      78.9      32.2     235.2     122.0     0.878     0.952
  1    19.884     0.024      42.7      21.3     266.3     115.2     0.268     0.896
  1    22.258     0.012      50.7      14.9     274.9     274.9     0.996     0.780
  1    22.389     0.028      41.7      18.9     247.0     125.8     0.584     0.999
  1    22.607     0.025      24.5      14.5     258.8     127.2     0.201     0.701
  1    22.694     0.024      69.3      27.4     176.4     115.6     0.911     1.000
  1    23.020     0.018      46.1      21.8     275.0     106.6     0.456     0.906
  1    23.343     0.023      29.3      16.0     317.7      98.7     0.364     0.754
  1    25.535     0.024      29.0      14.6     261.1     118.2     0.423     0.817
  1    25.774     0.019      74.6      25.6     190.7     121.8     1.000     0.971
  1    25.800     0.034      63.5      28.2     209.4     125.7     0.901     0.971
  1    25.923     0.004      39.3      15.5     305.1     116.7     0.420     1.000
  1    26.015     0.006      58.8      14.2     275.4     116.2     1.000     1.000
  1    26.391     0.006      47.6      12.2     287.8     103.0     0.985     0.875
  1    26.454     0.007      32.1      10.5     310.5     105.9     0.369     0.875
  1    28.009     0.018      32.7      14.7     245.5     126.6     0.866     0.997
  1    28.043     0.055      27.7      15.2     239.6     128.7     0.206     0.997
  1    28.639     0.016      51.9      16.8     207.6     107.6     1.000     0.959
  1    28.698     0.059      36.8      18.5     240.3     119.0     0.346     0.959
  1    28.771     0.025      18.4      10.6     276.9     124.7     0.356     0.608
  1    28.840     0.034      54.1      23.5     263.7     134.0     0.953     1.000
  1    28.920     0.015      83.8      20.5     147.0      89.2     1.000     1.000
  1    29.099     0.006      48.2       9.2     202.8      99.0     1.000     0.904
  1    29.249     0.018      24.6      12.4     283.3     114.1     0.353     0.742
  1    29.476     0.018      22.6      11.9     308.3     101.4     0.863     0.699
