version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  8293686
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
     9.815     0.109     1.472     0.009     1.434     0.005     0.222     0.007     9.788     0.007    0.0350    0.0053     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0     8.341     0.020     243.5      26.3      46.5      17.9     1.000     0.000
  0     9.794     0.008     290.9      24.9      74.6      15.2     1.000     0.000
  0    11.255     0.018     232.3      16.6      35.8      12.3     1.000     0.000
  0    12.765     0.027     153.1      22.9      23.8      12.7     0.999     0.000
  2     6.759     0.015     167.1      29.0      20.7      16.2     1.000     0.000
  2     8.164     0.010     242.0      25.8      18.0      18.0     1.000     0.000
  2     9.550     0.008     304.5      19.3      16.2      20.7     1.000     0.000
  2    11.043     0.012     223.4      20.7      18.1      18.1     1.000     0.000
  2    12.535     0.014     183.6       9.0      13.1      13.1     1.000     0.000
  2    14.165     0.040      66.0      14.0      17.4      17.4     0.998     0.000
