version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  8636389
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
   107.964     0.299     9.683     0.008     9.716     0.005     1.290     0.012   108.622     0.009    0.0059    0.0008     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    80.066     0.050      13.8       1.9      14.5      11.8     1.000     0.000
  0    89.291     0.017      21.1       1.6      26.3       7.2     1.000     0.000
  0    98.958     0.010      28.4       1.3      39.5       7.4     1.000     0.000
  0   108.624     0.010      34.7       1.3      33.0       5.4     1.000     0.000
  0   118.282     0.020      24.0       1.5      15.4       3.2     1.000     0.000
  0   128.224     0.034      15.7       1.4      11.3       3.8     1.000     0.000
  2    78.724     0.032       9.1       1.9      25.8       5.9     0.993     0.000
  2    87.984     0.052      15.1       1.6       4.0       3.6     1.000     0.000
  2    97.613     0.022      22.1       1.6       3.6       4.0     1.000     0.000
  2   107.367     0.013      31.6       2.2       5.9      25.8     1.000     0.000
  2   117.041     0.018      25.6       1.4       3.3       3.3     1.000     0.000
  2   126.937     0.048      16.7       1.3       2.0       2.0     1.000     0.000
  2   136.955     0.047       8.8       1.9      15.0      15.0     1.000     0.000
  1    84.430     0.017       6.0       2.1     333.1     111.7     0.890     0.846
  1    84.640     0.007       8.0       2.1     250.0     121.7     0.999     0.846
  1    85.033     0.009       9.3       2.3     224.5     111.8     1.000     0.970
  1    85.234     0.007       6.4       1.9     291.5     118.7     0.938     0.970
  1    85.956     0.002       3.2       1.7       0.0       0.0     0.787     0.441
  1    92.839     0.001       1.8       0.5       0.0       0.0     0.733     0.265
  1    93.451     0.007      13.0       2.7     182.8      98.0     1.000     1.000
  1    93.689     0.008       7.6       2.1     254.8     119.4     0.997     1.000
  1    93.824     0.011       7.5       2.0     192.5     111.5     0.513     1.000
  1    94.018     0.007       9.6       2.3     209.4     112.2     1.000     1.000
  1    94.214     0.010      11.2       2.4     139.4      85.4     1.000     1.000
  1    94.471     0.011      10.3       2.3     147.8      84.2     1.000     1.000
  1    94.676     0.007       8.8       2.1     248.1     111.8     0.999     1.000
  1    94.818     0.011       7.9       2.0     208.5     107.9     0.817     1.000
  1   101.461     0.002       3.1       1.4       0.0       0.0     0.903     0.691
  1   102.751     0.002       4.6       2.8       0.0       0.0     1.000     0.079
  1   102.977     0.004       9.4       2.1     323.7     106.5     1.000     0.994
  1   103.217     0.003      12.3       2.6     352.1      96.3     1.000     0.994
  1   103.471     0.008      11.7       2.6     165.9      95.5     1.000     0.994
  1   103.675     0.009      12.5       3.7     199.4     106.7     1.000     0.989
  1   104.042     0.007      15.3       3.2     174.0      96.0     1.000     1.000
  1   104.207     0.005      15.1       3.1     262.5     109.2     1.000     1.000
  1   104.378     0.006      14.0       3.2     204.3     105.2     1.000     0.915
  1   104.632     0.003       9.8       2.1     362.5      92.0     1.000     0.915
  1   104.841     0.004      10.7       2.3     344.5      97.2     1.000     0.915
  1   105.074     0.006       8.2       2.1     298.6     104.2     1.000     0.935
  1   105.620     0.001       5.8       2.1       0.0       0.0     1.000     0.415
  1   105.863     0.002       4.2       2.3       0.0       0.0     1.000     0.415
  1   106.447     0.001       2.8       1.3       0.0       0.0     0.996     0.187
  1   107.177     0.003       2.2       1.2       0.0       0.0     0.606     0.471
  1   112.023     0.003       3.9       2.1       0.0       0.0     0.990     0.631
  1   112.441     0.003       3.8       2.1       0.0       0.0     1.000     0.631
  1   112.666     0.003       7.6       3.1       0.0       0.0     1.000     0.686
  1   112.899     0.002       7.3       2.9       0.0       0.0     1.000     0.686
  1   113.250     0.009      16.8       3.5     169.1     102.0     1.000     1.000
  1   113.427     0.006       2.8       1.4       0.0       0.0     0.916     0.664
  1   113.549     0.003      31.3       2.9      61.3       6.5     1.000     1.000
  1   113.867     0.006      10.8       2.4     252.7     115.5     1.000     1.000
  1   114.040     0.005      13.7       2.9     281.4     107.3     1.000     1.000
  1   114.220     0.005      12.8       2.8     251.9     110.7     1.000     1.000
  1   114.633     0.006       9.1       2.0     261.3      99.8     1.000     0.977
  1   114.870     0.005       7.0       1.7     307.1     104.6     0.999     0.977
  1   115.578     0.005       5.2       1.3     323.4     100.4     0.993     0.959
  1   118.906     0.002       2.2       1.1       0.0       0.0     0.305     0.528
  1   122.116     0.005       6.1       1.3     258.2     109.8     1.000     0.965
  1   123.055     0.008      13.7       2.4     106.0      58.2     1.000     1.000
  1   123.247     0.017       8.7       1.8      96.1      52.1     1.000     1.000
  1   123.597     0.025       7.8       2.0     135.3      82.5     0.381     1.000
  1   123.731     0.011      12.3       2.3     100.7      48.7     1.000     1.000
  1   123.920     0.011       9.5       1.9     123.4      65.3     1.000     1.000
  1   124.885     0.004       4.2       1.1     342.0      99.9     0.905     0.840
  1   129.385     0.008       3.5       1.1     291.4     120.8     0.974     0.694
  1   132.985     0.013      10.0       1.4      63.7       8.0     1.000     1.000
  1   133.736     0.009       6.1       1.4     130.1      70.8     0.854     1.000
  3   100.813     0.013       7.9       1.9     143.1      98.1     0.998     0.940
  3   110.437     0.023       8.1       1.5      74.7      33.1     0.961     0.999
  3   120.216     0.010       5.9       1.9     224.3     139.6     0.980     1.000
  3   120.302     0.132       5.1       2.0     157.9     118.2     0.604     1.000
