version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  9071153
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
   116.842     0.260     9.971     0.007    10.039     0.005     1.265     0.011   122.057     0.008    0.0072    0.0007     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    72.886     0.140      10.1       3.1      62.1      24.7     0.992     0.000
  0    82.794     0.016      13.9       2.5      67.8      20.2     1.000     0.000
  0    92.293     0.015      25.2       3.0      45.0      16.4     1.000     0.000
  0   102.109     0.013      40.8       2.4      31.9       6.9     1.000     0.000
  0   112.115     0.009      57.1       2.0      39.0       6.6     1.000     0.000
  0   122.017     0.009      57.6       2.5      40.5       6.6     1.000     0.000
  0   132.099     0.022      34.9       2.1      15.2       3.0     1.000     0.000
  0   142.326     0.042      19.9       2.0      10.6       4.3     1.000     0.000
  2    52.975     0.022      11.6       2.7      23.5       9.9     0.960     0.000
  2    91.010     0.022      25.6       2.7       8.9       8.2     1.000     0.000
  2   100.754     0.018      30.3       2.8       8.2       8.9     1.000     0.000
  2   110.829     0.011      46.2       4.2       9.9      23.5     1.000     0.000
  2   120.787     0.013      51.9       3.6       5.3       5.3     1.000     0.000
  2   130.835     0.024      35.1       2.1       2.5       2.5     1.000     0.000
  2   141.131     0.060      20.2       2.1       2.8       2.8     1.000     0.000
  2   151.596     0.115      14.8       2.2       3.8       3.8     1.000     0.000
  2   161.258     0.052       4.7       1.2      10.5      10.5     0.901     0.000
  1    87.617     0.009      11.4       4.1     267.7     115.3     0.999     0.891
  1    96.706     0.009       9.0       2.7     264.4     126.0     0.297     0.785
  1    96.857     0.006       9.6       2.8     313.9     120.7     0.972     0.785
  1    97.245     0.008      22.1       4.6     147.9      90.2     1.000     1.000
  1    97.374     0.048       9.9       3.5     261.7     121.0     0.396     1.000
  1    97.713     0.005      22.6       4.7     258.8     106.4     1.000     0.953
  1    97.906     0.008      13.0       3.3     260.2     112.0     0.842     0.953
  1   101.057     0.003       5.0       3.1       0.0       0.0     0.816     0.605
  1   101.947     0.004       3.9       2.3       0.0       0.0     0.708     0.410
  1   105.267     0.001       5.5       2.9       0.0       0.0     0.993     0.083
  1   106.555     0.001       6.6       1.3       0.0       0.0     1.000     0.737
  1   106.838     0.001      12.4       2.0       0.0       0.0     1.000     0.737
  1   107.208     0.008      20.1       7.1     241.5     108.0     1.000     0.984
  1   107.400     0.008      26.3       6.0     165.0      91.0     1.000     1.000
  1   107.779     0.004      26.2       4.9     304.7     103.3     1.000     1.000
  1   108.031     0.004      19.3       3.9     337.2      99.3     1.000     1.000
  1   108.559     0.004       6.8       3.2       0.0       0.0     0.997     0.559
  1   108.844     0.002       8.1       2.8       0.0       0.0     1.000     0.559
  1   109.447     0.003       4.3       2.0       0.0       0.0     0.399     0.434
  1   111.030     0.003       5.0       2.1       0.0       0.0     0.737     0.682
  1   113.437     0.001       6.4       3.4       0.0       0.0     1.000     0.093
  1   114.209     0.004      11.3       3.0     368.9      92.4     1.000     1.000
  1   115.208     0.002       4.0       2.1       0.0       0.0     0.910     0.263
  1   115.381     0.004       5.3       2.3       0.0       0.0     0.939     0.263
  1   115.782     0.003       4.0       2.3       0.0       0.0     0.645     0.611
  1   116.185     0.004      14.9       3.5     325.4     106.8     1.000     1.000
  1   116.337     0.003      25.7       4.6     382.9      81.0     1.000     1.000
  1   117.023     0.008      39.2       8.6     178.1      99.8     1.000     1.000
  1   117.119     0.007      41.7       8.8     204.8     104.5     1.000     1.000
  1   117.358     0.011      13.4       3.5     235.4     115.7     0.926     1.000
  1   117.632     0.006      30.2       6.2     208.2     104.9     1.000     1.000
  1   117.718     0.008      22.2       5.1     191.0     109.0     1.000     1.000
  1   118.520     0.003       8.1       2.8       0.0       0.0     1.000     0.095
  1   118.635     0.001       8.3       3.7       0.0       0.0     1.000     0.095
  1   119.665     0.001       5.3       2.4       0.0       0.0     1.000     0.401
  1   120.521     0.006       8.4       2.6     318.3      94.7     0.998     0.880
  1   125.243     0.002       6.7       3.0       0.0       0.0     1.000     0.467
  1   126.360     0.006      17.6       3.8     279.6      96.5     1.000     0.952
  1   127.206     0.006      44.1       4.1      75.6      15.9     1.000     1.000
  1   127.954     0.011      16.4       5.6     209.1     105.6     1.000     0.991
  1   129.134     0.009       4.9       2.3       0.0       0.0     0.298     0.335
  1   135.540     0.007       6.8       2.0     303.8     105.7     0.495     0.982
  1   135.725     0.008       8.1       2.2     276.7     107.1     0.865     0.982
  1   136.796     0.006      10.7       3.0     275.0     123.0     1.000     1.000
  1   136.933     0.013      16.0       2.9      94.8      45.8     1.000     1.000
  1   137.637     0.012      22.7       2.6      72.9       8.7     1.000     1.000
  1   146.439     0.006       5.8       1.7     317.5     109.7     0.482     0.889
  1   147.175     0.008       7.1       2.4     254.1     113.2     0.274     0.889
  1   148.517     0.004       6.4       1.6     324.3     107.3     0.696     0.907
  3   114.113     0.016      16.9       3.2      86.5      50.8     1.000     1.000
  3   124.090     0.005      17.2       1.6      97.6      37.3     1.000     0.997
