version 1.0 (Automatic Bayesian peakBagging Algorithm -- 06/2019 -- T.Kallinger)
#
KIC  9340325
#
      fmax    fmax_e       dnu     dnu_e   dnu_cor dnu_cor_e     dnu02   dnu02_e      f0_c    f0_c_e     alpha   alpha_e   evo
    99.855     0.247     9.156     0.007     9.216     0.006     1.220     0.010   102.781     0.008    0.0072    0.0008     0
#
  l      freq  freq_err       amp   amp_err       tau   tau_err        ev       ev1
  0    66.717     0.159      10.5       3.8      63.2      26.3     0.978     0.000
  0    75.691     0.020      28.2       3.3      33.1      13.7     1.000     0.000
  0    84.466     0.011      41.3       3.6      46.8      13.7     1.000     0.000
  0    93.648     0.010      56.5       2.8      36.8       6.7     1.000     0.000
  0   102.763     0.009      71.0       4.2      43.4       8.5     1.000     0.000
  0   111.984     0.019      38.3       2.8      19.3       4.2     1.000     0.000
  0   121.404     0.034      22.9       2.4      17.1       7.4     1.000     0.000
  0   130.845     0.155      14.8       4.1      10.6       9.5     0.998     0.000
  2    83.225     0.020      32.0       3.2       9.7       6.8     1.000     0.000
  2    92.410     0.014      49.4       3.9       6.8       9.7     1.000     0.000
  2   101.562     0.012      69.1       4.3       5.4       5.4     1.000     0.000
  2   110.781     0.020      40.9       2.8       4.0       4.0     1.000     0.000
  2   120.196     0.060      26.1       2.6       2.5       2.5     1.000     0.000
  1    67.675     0.003       7.7       4.6       0.0       0.0     0.951     0.614
  1    71.462     0.002       7.0       3.9       0.0       0.0     0.796     0.358
  1    79.519     0.006      16.8       5.0     317.8     113.7     1.000     0.760
  1    79.922     0.005       9.6       2.5     288.0     129.3     0.205     0.843
  1    79.977     0.004      11.8       2.7     313.9     112.2     0.905     0.843
  1    80.302     0.010      25.7       9.1     202.8     110.3     1.000     0.992
  1    80.677     0.003      10.9       4.9       0.0       0.0     1.000     0.656
  1    88.195     0.001       7.0       3.5       0.0       0.0     0.999     0.259
  1    88.593     0.004      16.7       4.0     332.2     103.4     1.000     0.836
  1    88.735     0.018      11.4       3.6     289.2     120.0     0.616     0.836
  1    89.059     0.008      24.3       5.5     204.2     109.2     1.000     1.000
  1    89.188     0.008      24.7       5.4     182.3     103.1     1.000     1.000
  1    89.470     0.007      25.2       5.5     199.5     101.9     1.000     1.000
  1    89.629     0.006      23.5       5.5     249.1     115.0     1.000     1.000
  1    89.974     0.003      21.1       3.7     338.5      95.9     1.000     0.839
  1    95.028     0.003       6.2       3.7       0.0       0.0     0.993     0.399
  1    95.410     0.006      14.6       3.8     303.4     115.4     0.964     0.937
  1    96.080     0.005       8.6       2.6     346.4     103.8     0.341     0.812
  1    96.384     0.012      11.8       3.3     284.9     120.8     0.909     0.812
  1    96.776     0.003      15.7       3.6     365.7      90.3     1.000     0.785
  1    97.076     0.005      15.3       3.9     312.8     104.9     1.000     0.785
  1    97.470     0.003      22.4       4.9     354.9      96.1     1.000     1.000
  1    97.734     0.005      23.5       5.4     258.2     113.6     1.000     1.000
  1    98.077     0.006      36.4       9.3     238.6     103.1     1.000     0.983
  1    98.304     0.006      26.2       6.5     225.8     112.9     1.000     0.999
  1    98.572     0.005      47.2       9.5     197.0     102.3     1.000     0.999
  1    98.767     0.004      35.8       7.8     310.5     111.3     1.000     0.999
  1    99.147     0.001      14.2       2.5       0.0       0.0     1.000     0.148
  1    99.394     0.002      12.6       4.4       0.0       0.0     1.000     0.148
  1    99.860     0.002       9.1       5.3       0.0       0.0     1.000     0.072
  1   100.112     0.002       6.8       4.0       0.0       0.0     0.999     0.072
  1   100.852     0.001       9.4       4.9       0.0       0.0     1.000     0.071
  1   103.181     0.003       4.8       1.8       0.0       0.0     0.308     0.568
  1   103.781     0.002       5.5       2.0       0.0       0.0     1.000     0.254
  1   105.437     0.002       7.2       3.9       0.0       0.0     1.000     0.161
  1   105.606     0.002       5.8       3.3       0.0       0.0     0.968     0.161
  1   106.250     0.014      12.5       3.6     224.0     108.3     0.842     0.975
  1   106.417     0.003      16.2       3.5     371.4      88.6     1.000     0.975
  1   107.041     0.011      29.9       6.1     121.2      74.5     1.000     1.000
  1   107.153     0.005      34.1       7.1     252.2     111.4     1.000     1.000
  1   107.621     0.007      39.8       8.0     205.2     103.9     1.000     1.000
  1   107.717     0.008      29.3       7.0     219.4     115.0     1.000     1.000
  1   108.243     0.004      19.5       4.1     342.0      96.8     1.000     1.000
  1   108.362     0.004      25.7       5.0     313.6     100.8     1.000     1.000
  1   109.084     0.008      14.3       4.0     354.6      93.0     1.000     0.829
  1   109.976     0.014      10.4       3.2     327.6      98.5     0.922     0.928
  1   110.073     0.005      12.2       3.3     331.7      97.5     1.000     0.928
  1   115.718     0.005      16.3       5.0     374.4      88.4     1.000     0.778
  1   116.506     0.047      11.9       3.8     134.9      95.7     0.945     0.991
  1   116.580     0.005      17.5       3.2     229.3     125.4     1.000     0.991
  1   117.137     0.010      18.4       3.0     102.5      52.0     1.000     1.000
  1   117.246     0.013      15.2       3.2      99.7      40.1     0.999     1.000
  1   118.026     0.003       6.0       2.8       0.0       0.0     1.000     0.655
  1   125.667     0.013      11.6       3.4     138.6      89.9     0.990     0.988
  1   126.408     0.005      13.1       1.4      69.2       7.9     1.000     1.000
  1   127.300     0.007       7.3       2.3     301.1     109.2     0.961     0.837
  1   128.251     0.004       6.3       1.5     301.2     102.3     0.287     0.734
  3    95.356     0.015      14.5       3.9     273.9     120.5     0.567     0.937
  3   104.543     0.013      20.3       6.1     116.2      85.2     1.000     1.000
